chic_feature	atac_feature	rna_feature
614466_ENSG00000151465_CDC123		ENSG00000151465_CDC123
614468_ENSG00000151465_CDC123		ENSG00000151465_CDC123
614468_ENSG00000165609_NUDT5		ENSG00000165609_NUDT5
614473_ENSG00000151465_CDC123		ENSG00000151465_CDC123
614473_ENSG00000165609_NUDT5		ENSG00000165609_NUDT5
614478_ENSG00000151465_CDC123		ENSG00000151465_CDC123
614478_ENSG00000165609_NUDT5		ENSG00000165609_NUDT5
614480_ENSG00000151465_CDC123		ENSG00000151465_CDC123
614484_ENSG00000151465_CDC123		ENSG00000151465_CDC123
614484_ENSG00000165609_NUDT5		ENSG00000165609_NUDT5
885902_ENSG00000107669_ATE1		ENSG00000107669_ATE1
885972_ENSG00000107669_ATE1		ENSG00000107669_ATE1
886029_ENSG00000107669_ATE1	Peak_175503	ENSG00000107669_ATE1
886039_ENSG00000107669_ATE1	Peak_175503	ENSG00000107669_ATE1
886064_ENSG00000107669_ATE1	Peak_175503	ENSG00000107669_ATE1
886065_ENSG00000107669_ATE1	Peak_175503	ENSG00000107669_ATE1
886081_ENSG00000107669_ATE1		ENSG00000107669_ATE1
886092_ENSG00000107669_ATE1		ENSG00000107669_ATE1
886100_ENSG00000107669_ATE1		ENSG00000107669_ATE1
886121_ENSG00000107669_ATE1		ENSG00000107669_ATE1
886133_ENSG00000107669_ATE1	Peak_175505	ENSG00000107669_ATE1
886134_ENSG00000107669_ATE1	Peak_175505	ENSG00000107669_ATE1
614743_ENSG00000183049_CAMK1D	Peak_168289	ENSG00000183049_CAMK1D
614751_ENSG00000183049_CAMK1D	Peak_168289	ENSG00000183049_CAMK1D
614777_ENSG00000183049_CAMK1D		ENSG00000183049_CAMK1D
614819_ENSG00000183049_CAMK1D	Peak_168291	ENSG00000183049_CAMK1D
614819_ENSG00000183049_CAMK1D	Peak_168294	ENSG00000183049_CAMK1D
892472_ENSG00000065154_OAT	Peak_175695	ENSG00000065154_OAT
892592_ENSG00000107902_LHPP		ENSG00000107902_LHPP
892599_ENSG00000107902_LHPP		ENSG00000107902_LHPP
892614_ENSG00000107902_LHPP		ENSG00000107902_LHPP
896139_ENSG00000107949_BCCIP		ENSG00000107949_BCCIP
901671_ENSG00000132334_PTPRE	Peak_175928	ENSG00000132334_PTPRE
901671_ENSG00000132334_PTPRE	Peak_175932	ENSG00000132334_PTPRE
901672_ENSG00000132334_PTPRE	Peak_175928	ENSG00000132334_PTPRE
901672_ENSG00000132334_PTPRE	Peak_175932	ENSG00000132334_PTPRE
901673_ENSG00000132334_PTPRE	Peak_175928	ENSG00000132334_PTPRE
901673_ENSG00000132334_PTPRE	Peak_175932	ENSG00000132334_PTPRE
901674_ENSG00000132334_PTPRE	Peak_175928	ENSG00000132334_PTPRE
901674_ENSG00000132334_PTPRE	Peak_175932	ENSG00000132334_PTPRE
901678_ENSG00000132334_PTPRE	Peak_175928	ENSG00000132334_PTPRE
901678_ENSG00000132334_PTPRE	Peak_175932	ENSG00000132334_PTPRE
904784_ENSG00000170430_MGMT		ENSG00000170430_MGMT
904786_ENSG00000170430_MGMT		ENSG00000170430_MGMT
904787_ENSG00000170430_MGMT		ENSG00000170430_MGMT
904794_ENSG00000170430_MGMT		ENSG00000170430_MGMT
904802_ENSG00000170430_MGMT	Peak_175964	ENSG00000170430_MGMT
904809_ENSG00000170430_MGMT	Peak_175964	ENSG00000170430_MGMT
905235_ENSG00000170430_MGMT		ENSG00000170430_MGMT
905237_ENSG00000170430_MGMT		ENSG00000170430_MGMT
617387_ENSG00000086475_SEPHS1	Peak_168333	ENSG00000086475_SEPHS1
617387_ENSG00000107537_PHYH	Peak_168333	ENSG00000107537_PHYH
617387_ENSG00000123240_OPTN	Peak_168333	ENSG00000123240_OPTN
617390_ENSG00000086475_SEPHS1	Peak_168333	ENSG00000086475_SEPHS1
617390_ENSG00000107537_PHYH	Peak_168333	ENSG00000107537_PHYH
617390_ENSG00000123240_OPTN	Peak_168333	ENSG00000123240_OPTN
617400_ENSG00000107537_PHYH	Peak_168333	ENSG00000107537_PHYH
617400_ENSG00000123240_OPTN	Peak_168333	ENSG00000123240_OPTN
617494_ENSG00000123240_OPTN		ENSG00000123240_OPTN
617502_ENSG00000123240_OPTN		ENSG00000123240_OPTN
617519_ENSG00000123240_OPTN	Peak_168336	ENSG00000123240_OPTN
617520_ENSG00000123240_OPTN	Peak_168336	ENSG00000123240_OPTN
617527_ENSG00000123240_OPTN	Peak_168336	ENSG00000123240_OPTN
617536_ENSG00000123240_OPTN	Peak_168336	ENSG00000123240_OPTN
910707_ENSG00000175470_PPP2R2D	Peak_176003	ENSG00000175470_PPP2R2D
910709_ENSG00000175470_PPP2R2D	Peak_176003	ENSG00000175470_PPP2R2D
910725_ENSG00000175470_PPP2R2D		ENSG00000175470_PPP2R2D
910726_ENSG00000175470_PPP2R2D		ENSG00000175470_PPP2R2D
913885_ENSG00000148832_PAOX		ENSG00000148832_PAOX
913892_ENSG00000148832_PAOX		ENSG00000148832_PAOX
627036_ENSG00000165983_PTER		ENSG00000165983_PTER
627038_ENSG00000165983_PTER		ENSG00000165983_PTER
627044_ENSG00000165983_PTER		ENSG00000165983_PTER
627047_ENSG00000165983_PTER		ENSG00000165983_PTER
628194_ENSG00000026025_VIM		ENSG00000026025_VIM
628197_ENSG00000026025_VIM		ENSG00000026025_VIM
628202_ENSG00000026025_VIM		ENSG00000026025_VIM
628204_ENSG00000026025_VIM		ENSG00000026025_VIM
628207_ENSG00000026025_VIM		ENSG00000026025_VIM
628211_ENSG00000026025_VIM	Peak_168592	ENSG00000026025_VIM
628216_ENSG00000026025_VIM	Peak_168592	ENSG00000026025_VIM
628218_ENSG00000026025_VIM	Peak_168592	ENSG00000026025_VIM
628219_ENSG00000026025_VIM	Peak_168592	ENSG00000026025_VIM
628220_ENSG00000026025_VIM	Peak_168592	ENSG00000026025_VIM
628221_ENSG00000026025_VIM	Peak_168592	ENSG00000026025_VIM
628222_ENSG00000026025_VIM	Peak_168592	ENSG00000026025_VIM
628226_ENSG00000026025_VIM	Peak_168592	ENSG00000026025_VIM
628948_ENSG00000026025_VIM		ENSG00000026025_VIM
628949_ENSG00000026025_VIM		ENSG00000026025_VIM
638828_ENSG00000078403_MLLT10	Peak_168884	ENSG00000078403_MLLT10
638828_ENSG00000078403_MLLT10	Peak_168885	ENSG00000078403_MLLT10
638831_ENSG00000078403_MLLT10	Peak_168884	ENSG00000078403_MLLT10
638831_ENSG00000078403_MLLT10	Peak_168885	ENSG00000078403_MLLT10
638834_ENSG00000078403_MLLT10	Peak_168884	ENSG00000078403_MLLT10
638834_ENSG00000078403_MLLT10	Peak_168885	ENSG00000078403_MLLT10
638842_ENSG00000078403_MLLT10	Peak_168884	ENSG00000078403_MLLT10
638842_ENSG00000078403_MLLT10	Peak_168885	ENSG00000078403_MLLT10
638843_ENSG00000078403_MLLT10	Peak_168884	ENSG00000078403_MLLT10
638843_ENSG00000078403_MLLT10	Peak_168885	ENSG00000078403_MLLT10
655691_ENSG00000099246_RAB18	Peak_169289	ENSG00000099246_RAB18
655691_ENSG00000099246_RAB18	Peak_169292	ENSG00000099246_RAB18
655699_ENSG00000099246_RAB18	Peak_169289	ENSG00000099246_RAB18
655699_ENSG00000099246_RAB18	Peak_169292	ENSG00000099246_RAB18
